Date,XLF,XLC,XLE,XLB,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2000-01-03,11.14791202545166,,6.699405193328857,7.260403156280518,18.125656127929688,20.65203094482422,12.20715045928955,,5.55159854888916,20.52477264404297,11.173431396484375
2000-01-04,10.660576820373535,,6.573299884796143,7.190507888793945,17.624902725219727,19.60430145263672,11.86340618133545,,5.384133338928223,20.05902862548828,10.837300300598145
2000-01-05,10.576813697814941,,6.746698379516602,7.487562656402588,17.54634666442871,19.31325912475586,12.07300853729248,,5.520004749298096,19.879077911376953,10.704010009765625
2000-01-06,11.041313171386719,,7.006786823272705,7.679775714874268,17.78200340270996,18.6729793548584,12.299373626708984,,5.510525703430176,19.942588806152344,10.825709342956543
2000-01-07,11.224059104919434,,7.081663131713867,7.675407886505127,18.45950698852539,18.998943328857422,13.079094886779785,,5.557922840118408,20.18604278564453,11.335699081420898
2000-01-10,11.026082992553711,,7.022555351257324,7.649193286895752,18.45950698852539,19.720712661743164,12.785654067993164,,5.576876163482666,22.25017547607422,11.277749061584473
2000-01-11,10.843323707580566,,7.030435085296631,7.557461261749268,18.223846435546875,19.161922454833984,12.785654067993164,,5.516841411590576,21.657394409179688,11.213998794555664
2000-01-12,11.056539535522461,,6.998908042907715,7.448245525360107,18.007841110229492,19.080427169799805,12.852723121643066,,5.459966659545898,21.297502517700195,11.150252342224121
2000-01-13,11.391589164733887,,7.121075630187988,7.478826999664307,18.351497650146484,19.25505256652832,12.919791221618652,,5.409411907196045,21.932621002197266,11.208205223083496
2000-01-14,11.658098220825195,,7.07772159576416,7.4264068603515625,18.223846435546875,19.697429656982422,12.961713790893555,,5.453648567199707,21.742076873779297,11.179229736328125
2000-01-18,11.269750595092773,,7.164421081542969,7.247300148010254,18.204225540161133,19.802207946777344,12.74372386932373,,5.431528091430664,21.339839935302734,11.115484237670898
2000-01-19,11.231680870056152,,7.140779495239258,7.107506275177002,18.14530372619629,19.837129592895508,12.835945129394531,,5.434689998626709,21.84793472290039,11.092299461364746
2000-01-20,11.026082992553711,,7.140779495239258,6.919658660888672,18.027484893798828,19.95354461669922,12.65988826751709,,5.459966659545898,21.678569793701172,10.941617012023926
2000-01-21,10.889018058776855,,7.337819576263428,6.9502387046813965,17.8016414642334,19.97681999206543,12.517359733581543,,5.6369123458862305,21.636226654052734,10.71560287475586
2000-01-24,10.691034317016602,,7.07772159576416,6.76676082611084,17.291057586669922,19.324899673461914,12.156845092773438,,5.5610809326171875,20.99052619934082,10.31572151184082
2000-01-25,10.805256843566895,,7.061960697174072,6.640079975128174,17.192873001098633,19.738178253173828,12.005932807922363,,5.431528091430664,21.13872528076172,10.37946891784668
2000-01-26,11.208827018737793,,6.951615333557129,6.640079975128174,17.330339431762695,19.09206771850586,12.114924430847168,,5.40625524520874,21.0434513092041,10.454811096191406
2000-01-27,11.33066177368164,,6.8097453117370605,6.675027370452881,17.428524017333984,18.905803680419922,12.341299057006836,,5.37149715423584,20.916423797607422,10.425834655761719
2000-01-28,10.934699058532715,,6.730930328369141,6.5614471435546875,16.967029571533203,18.2305965423584,12.240691184997559,,5.34306001663208,20.49303436279297,10.014359474182129
2000-01-31,11.239290237426758,,6.888566493988037,6.522131443023682,17.084869384765625,18.835960388183594,12.467052459716797,,5.589515209197998,20.39775276184082,10.089707374572754
2000-02-01,11.300206184387207,,6.872802734375,6.640079975128174,16.967029571533203,19.231773376464844,12.341299057006836,,5.548440456390381,20.662384033203125,10.454811096191406
2000-02-02,11.185988426208496,,6.916147232055664,6.670657634735107,16.976850509643555,19.371463775634766,12.366445541381836,,5.520004749298096,21.170475006103516,10.385265350341797
