index_code,arm,epoch_length,graph_type,n_train_windows,n_test_windows,pca_dims,mean_pr,median_pr,mean_lcc_frac,modal_argmax_id,pr_localised_flag,kmeans_crisis_mu,kmeans_n_train_clusters_used,kmeans_train_point_precision,kmeans_train_point_recall,kmeans_train_point_f1,kmeans_test_point_precision,kmeans_test_point_recall,kmeans_test_point_f1,kmeans_regime_persistence_gap,kmeans_regimes_absent_test,hmm_crisis_mu,hmm_n_train_clusters_used,hmm_dwell_calm,hmm_dwell_transitional,hmm_dwell_crisis,hmm_train_point_precision,hmm_train_point_recall,hmm_train_point_f1,hmm_test_point_precision,hmm_test_point_recall,hmm_test_point_f1,hmm_regime_persistence_gap,hmm_regimes_absent_test
SP500,raw,63,mst,944,328,112,60.106566524490795,40.20605770778303,1.0,FIN_BEN,False,0.544869392019762,3,0.4583333333333333,0.5729166666666666,0.5092592592592592,0.25,0.8148148148148148,0.38260869565217387,0.019466948679295992,0,0.3774947755461989,3,5.198664064167614,4.837651082789373,19.783076556020735,0.1498371335504886,0.9583333333333334,0.25915492957746483,0.12149532710280374,0.9629629629629629,0.21576763485477177,0.04409403521043975,0
SP500,raw,63,tmfg,944,328,130,61.766616269062,41.5740558628645,1.0,FIN_BEN,False,0.4221996883389278,3,0.29015544041450775,0.5833333333333334,0.38754325259515565,0.22330097087378642,0.8518518518518519,0.35384615384615387,0.035341694502741196,0,0.369065493752807,3,4.949991968001091,5.403256794954912,13.444263791944513,0.13996316758747698,0.7916666666666666,0.2378716744913928,0.027777777777777776,0.037037037037037035,0.031746031746031744,0.11012173063444364,0
SP500,raw,132,mst,465,164,65,51.51067457205009,32.587667867603514,1.0,UTL_LNT,False,0.5516537347188433,3,0.39655172413793105,0.4791666666666667,0.43396226415094336,0.29411764705882354,0.625,0.4,0.046447685140574436,0,0.4002986817772814,3,6.047636864285893,8.700007223528218,14.154778159722014,0.1744186046511628,0.625,0.2727272727272727,0.14864864864864866,0.6875,0.24444444444444446,0.051095605131989075,0
SP500,raw,132,tmfg,465,164,86,53.141309744722044,34.97620767752564,1.0,UTL_LNT,False,0.40608823943809,3,0.21666666666666667,0.5416666666666666,0.30952380952380953,0.19230769230769232,0.625,0.29411764705882354,0.05967554458120498,0,0.36355268875744,3,5.219038002856141,12.437523218100035,16.631436376347466,0.13733905579399142,0.6666666666666666,0.22775800711743774,0.14285714285714285,0.6875,0.23655913978494625,0.08722695296608811,0
SP500,raw,378,mst,201,74,38,45.419212328273986,26.297142189653194,1.0,FIN_BEN,False,0.4979097108966472,3,0.26,0.5909090909090909,0.36111111111111116,0.06896551724137931,0.2857142857142857,0.1111111111111111,0.02074008786145365,0,0.3943242432373627,3,7.499971633875399,6.188155697646136,11.991500734673162,0.1095890410958904,0.36363636363636365,0.16842105263157894,0.1,0.14285714285714285,0.11764705882352941,0.29159663865546215,1
SP500,raw,378,tmfg,201,74,42,46.66832781025779,28.27311167050205,1.0,UTL_LNT,False,0.49177882744984247,3,0.27450980392156865,0.6363636363636364,0.3835616438356165,0.07692307692307693,0.2857142857142857,0.12121212121212123,0.029440045248868785,0,0.4926968080008803,3,30.249989063210528,9.999999975117895,24.500021322099833,0.2653061224489796,0.5909090909090909,0.36619718309859156,0.0,0.0,0.0,0.4890785088334018,1
Nikkei225,raw,63,mst,918,319,98,39.6978588126637,28.70123841119422,1.0,MACHIN_6473,False,0.4849654428275776,3,,,,,,,0.326512416352796,0,0.43002809106948553,3,14.950601616415696,10.383660963302406,26.71645802756737,,,,,,,0.3924564238709049,0
Nikkei225,raw,63,tmfg,918,319,104,43.1960480991958,30.980356822308416,1.0,MACHIN_6473,False,0.40556443817705645,3,,,,,,,0.35484901824016407,0,0.4364657502979497,3,10.30036608394455,9.332730278224055,26.139190228012602,,,,,,,0.19722920778558217,1
Nikkei225,raw,132,mst,453,159,70,32.99334738539941,22.783739375023302,1.0,MACHIN_6473,False,0.43580736975448503,3,,,,,,,0.28896743967355715,1,0.42922811440060754,3,19.749260620640193,7.1013101722552445,19.696713723852238,,,,,,,0.20516663279821173,1
Nikkei225,raw,132,tmfg,453,159,77,37.084010600901635,26.074027758373663,1.0,MACHIN_6473,False,0.40757461113436727,3,,,,,,,0.3430735930735931,1,0.4414892605071317,3,29.986013571379868,10.318189190232072,29.342621885034468,,,,,,,0.09599999999999997,2
