index_code,epoch_length,graph_type,descriptor,metric,arm,n_windows,n_train,stress,offdiag_dist_min,offdiag_dist_median,offdiag_dist_max,mean_oov_rate,median_oov_rate,mean_edge_count,median_edge_count
SP500,63,threshold,graph2vec,cosine,raw,1272,944,0.3754622283182583,0.2481203079223632,0.8105165958404541,1.2765940427780151,0.4249917779459732,0.4362464183381089,4106.423742138365,1460.5
SP500,63,mst,graph2vec,cosine,raw,1272,944,0.4008783841107264,0.245974063873291,0.821158230304718,1.238594651222229,0.557639977654034,0.5727077363896849,4227.936320754717,1562.0
SP500,63,tmfg,graph2vec,cosine,raw,1272,944,0.4120597292216784,0.1977935433387756,0.8292621374130249,1.2092050313949585,0.6967329161485647,0.701647564469914,4625.096698113208,1979.0
SP500,132,threshold,graph2vec,cosine,raw,629,465,0.361926098519812,0.0595970749855041,0.7818910479545593,1.2027032375335691,0.3573541939040001,0.3495702005730659,3309.8903020667726,1082.0
SP500,132,mst,graph2vec,cosine,raw,629,465,0.3908402394862929,0.2373329997062683,0.8059415817260742,1.1833475828170776,0.5319126643920172,0.5322349570200573,3465.893481717011,1233.0
SP500,132,tmfg,graph2vec,cosine,raw,629,465,0.4041105139913435,0.2018082737922668,0.824609637260437,1.1819195747375488,0.698183772850889,0.6977077363896849,3898.170111287759,1693.0
SP500,378,threshold,graph2vec,cosine,raw,275,201,0.3327784693038957,0.10709124803543091,0.7442277669906616,1.1328343152999878,0.33002344360510555,0.3022922636103152,2402.3454545454547,817.0
SP500,378,mst,graph2vec,cosine,raw,275,201,0.3711900172978764,0.25276243686676025,0.77436363697052,1.1246260404586792,0.5246444386558999,0.5114613180515759,2570.52,999.0
SP500,378,tmfg,graph2vec,cosine,raw,275,201,0.37986581429207894,0.13907957077026367,0.7952192425727844,1.1304529905319214,0.7104740817921333,0.7041547277936963,3012.7345454545452,1495.0
