index_code,arm,epoch_length,graph_type,n_train_windows,n_test_windows,pca_dims,oov_rate_train_mean,oov_rate_test_mean,kmeans_crisis_mu,kmeans_n_train_clusters_used,kmeans_train_point_precision,kmeans_train_point_recall,kmeans_train_point_f1,kmeans_test_point_precision,kmeans_test_point_recall,kmeans_test_point_f1,kmeans_regime_persistence_gap,kmeans_regimes_absent_test,hmm_crisis_mu,hmm_n_train_clusters_used,hmm_dwell_calm,hmm_dwell_transitional,hmm_dwell_crisis,hmm_train_point_precision,hmm_train_point_recall,hmm_train_point_f1,hmm_test_point_precision,hmm_test_point_recall,hmm_test_point_f1,hmm_regime_persistence_gap,hmm_regimes_absent_test
SP500,raw,63,threshold,944,328,103,0.4065155893351465,0.478167150045426,0.5765845638421719,3,0.51,0.53125,0.5204081632653061,0.288135593220339,0.6296296296296297,0.3953488372093023,0.03966074309154836,0,0.5215919967467522,3,22.834813419844433,19.97969129959224,16.632961438889097,0.38666666666666666,0.6041666666666666,0.4715447154471545,0.25333333333333335,0.7037037037037037,0.37254901960784315,0.11015950349678698,0
SP500,raw,63,mst,944,328,112,0.5475723617114273,0.5866150674400726,0.5728289097145465,3,0.49514563106796117,0.53125,0.5125628140703518,0.2833333333333333,0.6296296296296297,0.3908045977011494,0.03384328689915502,0,0.5108085677788089,3,20.313048431324905,15.854100903517114,14.07359815405731,0.35542168674698793,0.6145833333333334,0.45038167938931295,0.25,0.6666666666666666,0.36363636363636365,0.019460025531599534,0
SP500,raw,63,tmfg,944,328,111,0.6953007381865863,0.7008547941854777,0.5619022255881185,3,0.46846846846846846,0.5416666666666666,0.5024154589371981,0.2698412698412698,0.6296296296296297,0.37777777777777777,0.06851777796016023,0,0.5241709843369415,3,23.530026860470187,11.249528495797922,12.766719896772104,0.3790849673202614,0.6041666666666666,0.465863453815261,0.2909090909090909,0.5925925925925926,0.39024390243902435,0.0472585049008436,0
SP500,raw,132,threshold,465,164,85,0.33220876852450937,0.4286506744007268,0.5349849885101988,3,0.323943661971831,0.4791666666666667,0.38655462184873945,0.20454545454545456,0.5625,0.3,0.04803142027419897,0,0.5349849885101988,3,36.616832276744546,33.47979650756457,17.78135325270653,0.323943661971831,0.4791666666666667,0.38655462184873945,0.16666666666666666,0.5625,0.2571428571428572,0.3331372167716286,0
SP500,raw,132,mst,465,164,104,0.517649505499584,0.5723539380809282,0.5335338456024785,3,0.3194444444444444,0.4791666666666667,0.3833333333333333,0.20454545454545456,0.5625,0.3,0.07292610454676363,0,0.5349027525769915,3,25.36534320580866,21.223012647191574,17.722759471298797,0.323943661971831,0.4791666666666667,0.38655462184873945,0.2571428571428571,0.5625,0.3529411764705882,0.05626644859409872,0
SP500,raw,132,tmfg,465,164,101,0.6964568506023354,0.7030802292263609,0.5710848948075004,3,0.46938775510204084,0.4791666666666667,0.4742268041237114,0.38095238095238093,0.5,0.4324324324324324,0.05708639846253353,0,0.529212121005358,3,26.27080650188775,20.192778178229197,18.7537934703144,0.3333333333333333,0.5208333333333334,0.40650406504065034,0.34615384615384615,0.5625,0.4285714285714286,0.0921710852562125,0
SP500,raw,378,threshold,201,74,61,0.289269982465894,0.44071865561836904,0.496367487727875,3,0.2549019607843137,0.5909090909090909,0.35616438356164387,0.1111111111111111,0.2857142857142857,0.16,0.3272534198864731,0,0.49534159322572674,3,21.271388651165996,20.425138189037625,51.98937383572702,0.2692307692307692,0.6363636363636364,0.37837837837837834,0.15,0.42857142857142855,0.2222222222222222,0.3378046434685594,0
SP500,raw,378,mst,201,74,88,0.4994155298008525,0.5931716100054208,0.5189294267056479,3,0.35135135135135137,0.5909090909090909,0.4406779661016949,0.11764705882352941,0.2857142857142857,0.16666666666666666,0.06845600779867252,0,0.5189294267056479,3,64.49773493182707,8.500349693493847,18.497962548680075,0.35135135135135137,0.5909090909090909,0.4406779661016949,0.11764705882352941,0.2857142857142857,0.16666666666666666,0.015539513521729664,0
SP500,raw,378,tmfg,201,74,73,0.7073479308329415,0.7189653837218306,0.47821949153460286,3,0.22950819672131148,0.6363636363636364,0.3373493975903614,0.1111111111111111,0.2857142857142857,0.16,0.07711044542468598,0,0.5229754849481445,3,147.00005374472238,6.333330766119173,16.999790317224498,0.3235294117647059,0.5,0.3928571428571429,0.0625,0.14285714285714285,0.08695652173913043,0.0072088045744613805,1
Nikkei225,raw,63,threshold,918,319,78,0.4121355070590697,0.4213245842410074,0.5256131784077778,3,,,,,,,0.0376642077213731,0,0.5293982110184009,3,17.294806555299033,14.366179801755472,15.933414371407887,,,,,,,0.1783274684521582,0
