index_code,arm,epoch_length,n_train_windows,n_test_windows,pca_dims,n_zero_eigenvalues,q,kmeans_crisis_mu,kmeans_n_train_clusters_used,kmeans_train_point_precision,kmeans_train_point_recall,kmeans_train_point_f1,kmeans_test_point_precision,kmeans_test_point_recall,kmeans_test_point_f1,kmeans_regime_persistence_gap,kmeans_regimes_absent_test,hmm_crisis_mu,hmm_n_train_clusters_used,hmm_dwell_calm,hmm_dwell_transitional,hmm_dwell_crisis,hmm_train_point_precision,hmm_train_point_recall,hmm_train_point_f1,hmm_test_point_precision,hmm_test_point_recall,hmm_test_point_f1,hmm_regime_persistence_gap,hmm_regimes_absent_test
SP500,raw,63,944,328,6,287,0.18051575931232092,0.5994693832232727,3,0.5569620253164557,0.4583333333333333,0.5028571428571429,0.5,0.4444444444444444,0.47058823529411764,0.0764353012222821,0,0.36172548795943693,3,28.198407361054578,66.58013901243271,22.887376932832556,0.13742690058479531,0.4895833333333333,0.21461187214611874,0.0,0.0,0.0,0.48641921608428784,1
SP500,raw,132,465,164,6,218,0.37822349570200575,0.5633843342255618,3,0.46153846153846156,0.5,0.48000000000000004,0.3888888888888889,0.4375,0.411764705882353,0.2967239459886518,0,0.427704184914083,3,37.57315721126209,84.15634643064736,45.20825146758743,0.15384615384615385,0.5833333333333334,0.24347826086956523,0.0,0.0,0.0,0.011834319526627168,2
SP500,raw,378,201,74,5,0,1.0830945558739256,0.4933396524906492,3,0.2641509433962264,0.6363636363636364,0.3733333333333333,0.11764705882352941,0.2857142857142857,0.16666666666666666,0.02890637387030287,1,0.4330533402472284,3,70.09569332254206,82.64214744750852,47.23488403214193,0.0851063829787234,0.18181818181818182,0.11594202898550723,0.0,0.0,0.0,0.49888123924268507,1
Nikkei225,raw,63,918,319,6,115,0.3559322033898305,0.5215387741539402,3,,,,,,,0.09928498587003809,0,0.530626110480713,3,11.708123073188405,16.08906490795023,22.219227398266522,,,,,,,0.09532062396969761,0
Nikkei225,raw,132,453,159,6,46,0.7457627118644068,0.5004774376202605,3,,,,,,,0.056581629588122774,0,0.5011890999051744,3,30.896932617897594,25.514452876507573,20.88259879449786,,,,,,,0.33636237303369637,0
Nikkei225,raw,378,195,72,6,0,2.135593220338983,0.4863849851749405,3,,,,,,,0.07405639409185505,1,0.44988294370939463,3,69.99213531432933,14.516237165102355,26.474892403375176,,,,,,,0.3337835578145656,0
FTSE350,raw,63,954,330,6,97,0.39622641509433965,0.321369771869429,3,,,,,,,0.11872068592229774,0,0.2981886643888581,3,28.35504970399777,27.38518268664007,32.68595306997986,,,,,,,0.15433311644138337,0
FTSE350,raw,132,470,165,6,28,0.8301886792452831,0.3328395338399354,3,,,,,,,0.38136094338556603,0,0.2804256707616223,3,49.61053377888823,34.28399635458914,19.128057105480153,,,,,,,0.37268702698003847,0
FTSE350,raw,378,203,75,5,0,2.3773584905660377,0.2983646559802178,3,,,,,,,0.4962286603077038,1,0.2997992386737345,3,39.48888445783818,inf,41.47238427083151,,,,,,,0.3773019466934367,0
CSI300,raw,63,909,316,6,0,1.75,0.5477141829040155,3,,,,,,,0.08756523308470658,0,0.5510185972001225,3,23.117675879347708,22.94363114965399,34.24157968281784,,,,,,,0.18417561513117034,0
CSI300,raw,132,448,158,5,0,3.6666666666666665,0.5423739574010279,3,,,,,,,0.1372879340806972,0,0.5380596167548445,3,29.668398764915217,33.778671261227764,28.710555908052175,,,,,,,0.14662064764300634,0
CSI300,raw,378,193,72,5,0,10.5,0.4983100333359113,3,,,,,,,0.14681715966095832,1,0.453523030070708,3,47.99244657600094,36.7013986155524,35.644066517040066,,,,,,,0.49639797507788164,1
