Date,TEL_AAF,MAT_AAL,FIN_ABDN,CST_ABF,FIN_ADM,FIN_ALW,MAT_ANTO,CD_AUTO,FIN_AV,HC_AZN,IND_BA,IND_BAB,FIN_BARC,CST_BATS,FIN_BEZ,RE_BLND,IND_BNZL,ENE_BP,CD_BRBY,TEL_BT-A,IND_BTRW,TECH_CCC,CST_CCEP,CST_CCH,UTL_CNA,IND_CPG,MAT_CRDA,HC_CTEC,IND_DCC,CST_DGE,IND_DPLM,MAT_EDV,CD_ENT,IND_EXPN,FIN_FCIT,MAT_FRES,CD_GAW,MAT_GLEN,HC_GSK,IND_HLMA,HC_HLN,FIN_HSBA,FIN_HSX,IND_HWDN,FIN_ICG,FIN_IGG,CD_IHG,FIN_III,CST_IMB,IND_IMI,RE_BBOX,FIN_BGEO,CD_IAG,CD_INF,FIN_INVP,IND_ITRK,CD_JD,CD_KGF,RE_LAND,FIN_LGEN,FIN_LLOY,RE_LMP,FIN_LSEG,CST_MKS,FIN_MNG,IND_MRO,UTL_MTLN,UTL_NG,FIN_NWG,CD_NXT,FIN_PCT,FIN_PRU,FIN_PSH,IND_PSN,CD_PSON,CD_REL,MAT_RIO,IND_RKT,IND_RR,IND_RTO,CST_SBRY,FIN_SDLF,FIN_SDR,TECH_SGE,RE_SGRO,ENE_SHEL,IND_SMIN,FIN_SMT,HC_SN,IND_SPX,UTL_SSE,FIN_STAN,FIN_STJ,UTL_SVT,CST_TSCO,CD_ULVR,UTL_UU,TEL_VOD,IND_WEIR,CD_WTB
2001-01-01,,980.7457275390625,,500.71868896484375,,316.83258056640625,87.70842742919922,,1050.9923095703125,3345.539306640625,378.2575378417969,91.62760925292969,474.6382751464844,502.8812561035156,,389.3453369140625,413.39520263671875,533.2063598632812,,393.91387939453125,192.8753662109375,505.1025390625,,,253.77525329589844,4.234277725219727,284.7489318847656,,890.9776000976562,744.0146484375,51.433555603027344,,,,66.52800750732422,,132.4724578857422,,1877.2889404296875,136.22970581054688,,847.6226806640625,201.8308563232422,68.93779754638672,459.604736328125,,,1099.24560546875,496.71160888671875,268.4851379394531,,,,549.1980590820312,,,2.5831968784332275,479.7415466308594,789.6988525390625,181.84011840820312,455.117919921875,,,218.22125244140625,,,,659.7784423828125,4836.11279296875,798.2423095703125,34.599998474121094,785.8308715820312,,240.97532653808594,1575.4827880859375,826.328125,961.053466796875,931.8197631835938,67.66175842285156,229.72470092773438,444.8047790527344,,222.63365173339844,320.7174072265625,738.7822265625,2097.650146484375,1202.1068115234375,84.10883331298828,308.5968322753906,378.4210510253906,611.70068359375,768.1682739257812,421.18896484375,1101.32275390625,342.1768798828125,1349.4737548828125,654.6875,287.5724792480469,235.9602813720703,727.86328125
2001-01-02,,976.7588500976562,,518.37060546875,,317.32958984375,88.00570678710938,,1046.1356201171875,3355.4521484375,359.4436340332031,91.18928527832031,477.15814208984375,508.0605163574219,,383.1976013183594,418.43048095703125,529.2568359375,,393.91387939453125,200.01889038085938,506.6107177734375,,,248.5882110595703,4.120938301086426,297.2388610839844,,864.2522583007812,743.0226440429688,50.837799072265625,,,,65.7197036743164,,132.4724578857422,,1869.3428955078125,140.7044219970703,,823.5277099609375,202.54405212402344,68.93779754638672,457.09320068359375,,,942.08740234375,500.2771911621094,266.2193908691406,,,,551.4861450195312,,,2.5732438564300537,455.1109619140625,800.9468383789062,180.60818481445312,451.260986328125,,,221.31480407714844,,,,660.3208618164062,4718.5419921875,780.3931884765625,32.25,855.6912841796875,,240.97532653808594,1594.309326171875,802.7186279296875,950.4475708007812,919.6915893554688,68.77099609375,219.28265380859375,444.0374755859375,,224.48757934570312,306.3412170410156,736.9736938476562,2097.650146484375,1206.570068359375,83.51091766357422,308.5968322753906,390.1798095703125,618.607177734375,756.6199340820312,426.6525573730469,1082.0792236328125,346.5679626464844,1351.82861328125,636.1453857421875,282.886962890625,240.92788696289062,722.0681762695312
2001-01-03,,980.7457275390625,,512.155029296875,,315.8387145996094,87.9066390991211,,1034.479736328125,3310.844482421875,358.9486083984375,89.87398529052734,479.90692138671875,518.9122924804688,,387.296142578125,428.5010986328125,537.156005859375,,385.6527404785156,200.01889038085938,487.7640075683594,,,245.6521453857422,4.01922082901001,299.45074462890625,,864.2522583007812,710.2861328125,50.44063186645508,,,,64.53837585449219,,130.98963928222656,,1844.5115966796875,138.7156982421875,,817.5040283203125,194.841552734375,68.4400405883789,452.0701599121094,,,891.2695922851562,513.4708251953125,263.9537658691406,,,,540.9600830078125,,,2.523469924926758,453.7005615234375,789.2301025390625,180.36181640625,456.4036560058594,,,218.639892578125,,,,655.9828491210938,4709.37060546875,782.8726806640625,30.75,845.4295654296875,,240.97532653808594,1506.122314453125,758.4502563476562,921.8931274414062,920.702392578125,67.40589904785156,216.79649353027344,442.3427429199219,,222.46514892578125,279.1573486328125,736.9736938476562,2045.7779541015625,1187.9727783203125,82.71369934082031,307.6013488769531,396.59393310546875,606.7677612304688,748.6553344726562,408.275146484375,1066.537109375,343.7451477050781,1340.0538330078125,644.0355224609375,263.5593566894531,240.92788696289062,722.7227783203125
2001-01-04,,1049.849609375,,495.0005187988281,,322.0512390136719,87.9066390991211,,1059.7342529296875,3162.154052734375,376.27716064453125,87.24354553222656,502.8142395019531,473.53228759765625,,387.7058410644531,439.0750732421875,527.8748168945312,,422.1453857421875,206.83770751953125,500.5792541503906,,,249.56678771972656,4.260433197021484,299.9773864746094,,939.6776123046875,664.6531372070312,50.44063186645508,,,,65.53316497802734,,130.98963928222656,,1724.3240966796875,138.21841430664062,,891.5098266601562,201.11769104003906,68.93779754638672,457.09320068359375,,,981.1788330078125,490.6497497558594,294.5406494140625,,,,552.4019165039062,,,2.528446912765503,460.7528381347656,806.1023559570312,185.04335021972656,482.1164245605469,,,229.1068115234375,,,,653.814697265625,4911.34375,778.9061279296875,33.25,864.3744506835938,,241.47015380859375,1575.4827880859375,771.4356079101562,1005.1087646484375,873.7074584960938,69.62430572509766,223.26060485839844,429.3493347167969,,237.46469116210938,313.6601257324219,745.9716186523438,2045.7779541015625,1166.400634765625,84.10883331298828,307.6013488769531,405.14581298828125,587.0354614257812,808.3886108398438,417.21563720703125,962.177490234375,322.41796875,1269.39990234375,637.6246337890625,279.95849609375,247.3857421875,729.2693481445312
2001-01-05,,1036.560546875,,492.7628173828125,,321.55419921875,88.00570678710938,,996.5969848632812,3102.677490234375,357.46337890625,87.24354553222656,503.95941162109375,477.4783630371094,,386.8862609863281,437.56463623046875,537.6500244140625,,433.85455322265625,199.3694305419922,501.3324279785156,,,251.5243377685547,4.173248767852783,296.1855773925781,,939.6776123046875,660.68505859375,54.21375274658203,,,,64.97359466552734,,130.49533081054688,,1703.4664306640625,137.2240753173828,,882.9043579101562,199.6913604736328,73.91521453857422,452.0701599121094,,,1018.7057495117188,482.4486389160156,310.4005432128906,,,,562.9280395507812,,,2.5732438564300537,463.5738220214844,801.8842163085938,180.85455322265625,482.7591857910156,,,233.17726135253906,,,,655.9828491210938,5021.4873046875,792.2927856445312,31.950000762939453,852.5338134765625,,251.3665313720703,1603.2269287109375,776.748291015625,1010.0037841796875,902.5108642578125,68.941650390625,224.75228881835938,425.9595947265625,,236.45350646972656,292.4879150390625,745.9716186523438,2045.7779541015625,1160.44921875,83.9095458984375,309.84112548828125,405.14581298828125,586.0487060546875,823.9191284179688,417.21563720703125,1019.9080200195312,327.4360046386719,1231.7191162109375,616.419921875,283.82403564453125,249.8695526123047,720.1044921875
2001-01-08,,1044.5340576171875,,500.2214660644531,,323.0450744628906,87.11375427246094,,1038.365234375,3122.503662109375,363.404541015625,87.24354553222656,505.10504150390625,483.1507568359375,,386.5060119628906,439.0750732421875,537.3536376953125,,435.92169189453125,199.69419860839844,478.7171936035156,,,248.5882110595703,4.051188945770264,294.500244140625,,953.485107421875,661.6773071289062,54.21375274658203,,,,64.84922790527344,,130.49533081054688,,1735.2510986328125,133.74375915527344,,867.4151000976562,200.40451049804688,77.15058898925781,452.0701599121094,,,1000.7239990234375,480.665771484375,300.204833984375,,,,558.3512573242188,,,2.633204460144043,459.8125,806.1023559570312,181.34738159179688,477.61669921875,,,244.80697631835938,,,,660.3208618164062,5012.31494140625,813.1162719726562,30.600000381469727,848.586669921875,,254.3354034423828,1581.4278564453125,790.9144897460938,1016.5302124023438,897.962890625,70.0508804321289,208.59205627441406,414.6609191894531,,227.5211639404297,305.29559326171875,748.6696166992188,2045.7779541015625,1180.5340576171875,83.61058044433594,312.5787048339844,405.14581298828125,591.9684448242188,809.18505859375,409.2686462402344,1036.1910400390625,325.867919921875,1222.298095703125,630.2278442382812,266.8391418457031,251.3597869873047,720.1044921875
2001-01-09,,1025.3970947265625,,497.7352600097656,,322.548095703125,86.51912689208984,,1034.479736328125,3063.026611328125,352.5123291015625,86.80520629882812,500.5235290527344,485.3705139160156,,389.3750915527344,439.5785217285156,519.8765869140625,,442.12335205078125,204.2400665283203,483.2405090332031,,,243.69464111328125,4.097689151763916,292.9204406738281,,945.9634399414062,641.836669921875,54.610923767089844,,,,65.22230529785156,,130.00103759765625,,1720.3519287109375,134.7381134033203,,868.2752075195312,202.54405212402344,79.39041900634766,454.5816345214844,,,992.9058227539062,476.7433776855469,301.62091064453125,,,,558.3512573242188,,,2.633204460144043,470.1559753417969,818.2872314453125,177.4050750732422,472.47406005859375,,,239.9224090576172,,,,657.0670776367188,5030.68994140625,798.2423095703125,31.0,839.903564453125,,264.23175048828125,1605.20947265625,800.3574829101562,1001.8453979492188,872.191162109375,68.25910186767578,195.9124755859375,406.7518615722656,,233.41990661621094,314.7055358886719,749.55908203125,2045.7779541015625,1178.30224609375,82.91300201416016,315.06744384765625,415.8355407714844,591.9684448242188,802.01708984375,386.42108154296875,1009.5459594726562,321.7906799316406,1198.747802734375,621.844482421875,257.702392578125,240.92788696289062,718.140380859375
2001-01-10,,1019.2847900390625,,501.7132873535156,,321.802490234375,86.32093048095703,,1013.1101684570312,3063.026611328125,265.8694152832031,85.48992919921875,476.4710693359375,494.2491760253906,,402.4906921386719,434.5433044433594,524.8135375976562,,465.53387451171875,206.83770751953125,492.2873229980469,,,243.2053680419922,4.048282623291016,291.8669738769531,,945.9634399414062,644.812744140625,54.610923767089844,,,,65.0979232788086,,130.00103759765625,,1747.169921875,141.20155334472656,,863.1119384765625,208.24951171875,83.6213150024414,454.5816345214844,,,977.2697143554688,489.5799865722656,296.8063049316406,,,,553.77490234375,,,2.613293170928955,485.2010192871094,843.1268310546875,188.49285888671875,466.3673095703125,,,244.5743408203125,,,,657.0670776367188,4865.42919921875,789.8137817382812,31.0,836.7459716796875,,266.2109069824219,1575.4827880859375,790.9144897460938,954.5266723632812,873.2020874023438,68.25910186767578,201.8792724609375,403.3623352050781,,231.734619140625,329.3430480957031,749.55908203125,2045.7779541015625,1044.404541015625,82.2154541015625,303.619384765625,423.8529357910156,587.0354614257812,794.84912109375,386.42108154296875,1009.5459594726562,327.4360046386719,1182.261962890625,624.310302734375,254.1883544921875,238.44407653808594,726.65087890625
2001-01-11,,1024.5999755859375,,507.18280029296875,,322.0512390136719,86.32093048095703,,994.65478515625,3067.983642578125,261.16595458984375,85.48992919921875,483.114013671875,506.0874938964844,,393.4736633300781,430.5151672363281,540.1187744140625,,485.8474426269531,204.2400665283203,514.149169921875,,,242.71595764160156,3.952381134033203,290.7084045410156,,953.485107421875,647.788818359375,55.60385513305664,,,,65.4087905883789,,130.00103759765625,,1778.9547119140625,138.21841430664062,,849.343505859375,205.39666748046875,80.63478088378906,452.0701599121094,,,1013.2326049804688,499.2076416015625,288.5932922363281,,,,530.8914184570312,,,2.613293170928955,465.4543762207031,840.7832641601562,180.36181640625,471.1885070800781,,,230.0371856689453,,,,667.9100952148438,4920.5166015625,774.4437866210938,31.100000381469727,813.0645751953125,,273.63330078125,1555.6654052734375,755.5001831054688,954.5266723632812,860.0634765625,68.34441375732422,207.84616088867188,394.3232727050781,,222.97076416015625,334.5705871582031,751.3674926757812,2045.7779541015625,1086.0615234375,82.51441192626953,306.6058654785156,422.2495422363281,591.9684448242188,808.3886108398438,387.41461181640625,1021.3884887695312,330.8860168457031,1189.326416015625,602.6121826171875,265.6676025390625,230.99264526367188,732.5426025390625
2001-01-12,,1020.6133422851562,,492.2656555175781,,324.6353454589844,85.82540893554688,,967.4567260742188,3060.053466796875,264.8792724609375,85.92829132080078,476.4710693359375,488.3301086425781,,388.55517578125,426.9906005859375,547.0304565429688,,489.2952575683594,200.66824340820312,584.2598876953125,,,232.9290771484375,4.097689151763916,290.7084045410156,,949.10546875,660.189208984375,56.19960403442383,,,,65.657470703125,,130.00103759765625,,1761.0760498046875,143.6875,,863.1119384765625,203.97030639648438,78.89271545410156,447.5494079589844,,,1017.141357421875,492.0760803222656,286.6107177734375,,,,528.603271484375,,,2.673025369644165,457.9320373535156,799.5410766601562,177.65147399902344,467.9743347167969,,,234.6891326904297,,,,661.4049072265625,4911.34375,763.5363159179688,31.799999237060547,789.3831176757812,,274.12799072265625,1591.3369140625,753.1389770507812,962.6852416992188,839.8505249023438,68.85633850097656,208.09475708007812,402.2325134277344,,221.62246704101562,355.4813537597656,752.257080078125,2045.7779541015625,1045.892578125,84.50749206542969,308.5968322753906,422.2495422363281,565.3299560546875,820.335205078125,381.45416259765625,1006.5853881835938,323.0451965332031,1217.587890625,573.0239868164062,276.44439697265625,225.03160095214844,733.1969604492188
