Date,FIN_000001,IT_000063,CST_000568,CST_000858,FIN_600016,HC_600276,CST_600809,CST_600887,FIN_600000,CD_600104,CD_600660,IND_000157,IND_000425,HC_000661,IT_000977,IND_600009,MAT_600111,ENE_600188,UTL_600674,UTL_600795,IND_000768,ENE_000983,HC_600085,HC_600196,CST_600600,CD_600741,IT_600845,IT_000733,MAT_600176,IT_600183,MAT_600219,RE_000069,IND_000800,MAT_000877,CST_600132,CD_600754
2001-01-01,2.840167999267578,3.7834858894348145,2.0284433364868164,3.4398698806762695,0.459701806306839,0.5711135268211365,2.4466702938079834,1.0688064098358154,1.2008596658706665,1.6888515949249268,1.5587345361709595,0.3361968696117401,1.8919532299041748,5.545075416564941,4.19917106628418,2.837738037109375,1.8786165714263916,1.2779161930084229,1.7018370628356934,0.8161979913711548,3.0913023948669434,0.9466506242752075,3.0090858936309814,3.1735682487487793,6.129280090332031,1.0903435945510864,2.487898111343384,11.235556602478027,0.6585548520088196,2.7606935501098633,1.897316575050354,0.8282427191734314,4.472329616546631,4.409725666046143,3.2571957111358643,8.031075477600098
2001-01-02,2.846036195755005,3.8619980812072754,2.079195022583008,3.4668383598327637,0.464240163564682,0.5870251059532166,2.483853340148926,1.1014423370361328,1.210697889328003,1.6984870433807373,1.5525816679000854,0.3379667401313782,1.8910794258117676,5.896498680114746,4.248361587524414,2.904338836669922,1.9190179109573364,1.393440842628479,1.7448376417160034,0.823621928691864,3.1161324977874756,0.9548183083534241,3.1347341537475586,3.421696901321411,6.255654811859131,1.1072484254837036,2.4820566177368164,11.2769136428833,0.661232054233551,2.7639496326446533,1.9517844915390015,0.8551865220069885,4.506892681121826,4.409725666046143,3.223654270172119,7.896475791931152
2001-01-03,2.8245198726654053,3.9981515407562256,2.128310441970825,3.497286796569824,0.461837500333786,0.5843732357025146,2.5036840438842773,1.0973625183105469,1.2049106359481812,1.7136270999908447,1.5573673248291016,0.34409138560295105,1.8770908117294312,5.953943729400635,4.3452558517456055,2.8956518173217773,1.9169965982437134,1.393440842628479,1.8142999410629272,0.841718852519989,3.1335136890411377,0.9531847834587097,3.2383625507354736,3.425809383392334,6.364800453186035,1.1072484254837036,2.4902327060699463,11.559527397155762,0.7276230454444885,2.6912143230438232,1.950649619102478,0.84764164686203,4.486155033111572,4.4446492195129395,3.3447747230529785,8.357958793640137
2001-01-04,2.806915521621704,3.9156651496887207,2.1184873580932617,3.4955480098724365,0.4581001400947571,0.5851312279701233,2.464022397994995,1.1096006631851196,1.1950727701187134,1.7273920774459839,1.5573673248291016,0.34028035402297974,1.8456155061721802,6.031662940979004,4.276684761047363,2.8695907592773438,1.9654781818389893,1.393440842628479,1.8085119724273682,0.8572635054588318,3.1384799480438232,0.9703376889228821,3.194319486618042,3.4312937259674072,6.290122032165527,1.1024186611175537,2.5229392051696777,11.504385948181152,0.7185207009315491,2.7248685359954834,1.9154717922210693,0.868119478225708,4.5691046714782715,4.466708183288574,3.3410487174987793,8.35154914855957
2001-01-05,2.7775747776031494,3.84112811088562,2.1954338550567627,3.4624884128570557,0.45169317722320557,0.5963070392608643,2.5160791873931885,1.1381568908691406,1.179446816444397,1.7755659818649292,1.6120599508285522,0.33932748436927795,1.8316271305084229,6.038421630859375,4.302027702331543,2.9159209728240967,1.9765880107879639,1.393440842628479,1.8391079902648926,0.858423113822937,3.113649845123291,0.9883065819740295,3.208568811416626,3.4614524841308594,6.341823577880859,1.0963809490203857,2.521770477294922,11.359631538391113,0.7367244958877563,2.7585225105285645,1.9801533222198486,0.8713520169258118,4.658965587615967,4.304951190948486,3.391359806060791,8.35154914855957
2001-01-08,2.7384541034698486,3.7357819080352783,2.1905221939086914,3.383321762084961,0.4428832232952118,0.579448401927948,2.473937749862671,1.131629467010498,1.149931788444519,1.7879530191421509,1.5894994735717773,0.33837470412254333,1.8097703456878662,5.798506736755371,4.149980545043945,2.881174087524414,1.8584167957305908,1.393440842628479,1.834973931312561,0.8581915497779846,3.061507225036621,1.004642367362976,3.1671178340911865,3.475161075592041,6.249910831451416,1.1096632480621338,2.4668729305267334,11.056339263916016,0.7228037714958191,2.7606935501098633,1.981288194656372,0.8778190612792969,4.741915225982666,4.108267784118652,3.3447747230529785,8.35154914855957
2001-01-09,2.846036195755005,3.677147388458252,2.12994647026062,3.367661714553833,0.4546293616294861,0.5701659917831421,2.4441909790039062,1.1014423370361328,1.1690295934677124,1.785200834274292,1.5867643356323242,0.33837470412254333,1.8071470260620117,5.8086442947387695,4.16041374206543,2.9246087074279785,1.8806366920471191,1.2779161930084229,1.8564740419387817,0.8688638210296631,3.0764055252075195,0.9956576824188232,3.1528685092926025,3.429922342300415,6.26714563369751,1.1036255359649658,2.4271602630615234,11.235556602478027,0.7335125803947449,2.784575939178467,1.9699398279190063,0.878358006477356,4.700440406799316,4.095400810241699,3.3019168376922607,8.35154914855957
2001-01-10,2.8206074237823486,3.733795166015625,2.172513246536255,3.418989658355713,0.4546293616294861,0.5777438282966614,2.478895425796509,1.1116405725479126,1.171923279762268,1.786576747894287,1.5963361263275146,0.3410968482494354,1.7756731510162354,5.839055061340332,4.144018650054932,2.9622514247894287,1.8856871128082275,1.2933989763259888,1.6712398529052734,0.8642234206199646,3.128547430038452,0.9989245533943176,3.1982061862945557,3.468306303024292,6.4337334632873535,1.130190134048462,2.4528565406799316,11.407883644104004,0.7329769134521484,2.627163887023926,1.9858273267745972,0.9009904265403748,4.776477336883545,4.203851699829102,3.3783152103424072,8.35154914855957
2001-01-11,2.89298152923584,3.677147388458252,2.143044948577881,3.3972408771514893,0.46397310495376587,0.5663778185844421,2.4863319396972656,1.0810445547103882,1.1800254583358765,1.7631782293319702,1.567622423171997,0.34286627173423767,1.781793475151062,5.730924606323242,4.0724663734436035,2.941981792449951,1.8139762878417969,1.2802982330322266,1.779569149017334,0.878143846988678,3.096269130706787,0.9874897003173828,3.1735939979553223,3.3860535621643066,6.525642395019531,1.1277748346328735,2.4271602630615234,11.580206871032715,0.719056248664856,2.3644471168518066,1.9778839349746704,0.8945236802101135,4.76265287399292,4.172603607177734,3.372725486755371,8.35154914855957
2001-01-12,2.894937753677368,3.61851167678833,2.1152124404907227,3.3406922817230225,0.4679775834083557,0.5739554762840271,2.560698986053467,1.0810445547103882,1.1788676977157593,1.7507902383804321,1.5655709505081177,0.3334745764732361,1.849112868309021,5.670100212097168,4.051596641540527,2.936190366744995,1.7341854572296143,1.2862533330917358,1.8672245740890503,0.8943842053413391,3.0639901161193848,0.9695205092430115,3.120485782623291,3.3339614868164062,6.427988529205322,1.1181155443191528,2.4236559867858887,11.180415153503418,0.7083483338356018,2.1277852058410645,1.897316575050354,0.8880575299263,4.645141124725342,4.203851699829102,3.352229118347168,7.8067426681518555
2001-01-15,2.7756192684173584,3.548943519592285,2.0055227279663086,3.2058470249176025,0.4471547305583954,0.5569064021110535,2.4665017127990723,1.0492258071899414,1.1528255939483643,1.7067450284957886,1.5601017475128174,0.32190507650375366,1.817638874053955,5.305160045623779,3.9651384353637695,2.866694688796997,1.6665152311325073,1.245760202407837,1.7373950481414795,0.8537834286689758,3.0019161701202393,0.9564521312713623,3.0608997344970703,3.159860610961914,6.175234794616699,1.0891362428665161,2.3021810054779053,10.835765838623047,0.6965687870979309,1.9150066375732422,1.8201525211334229,0.8568033576011658,4.5552778244018555,3.996141195297241,3.259059429168701,7.665735244750977
2001-01-16,2.8323442935943604,3.460493326187134,2.0431783199310303,3.20932674407959,0.45436224341392517,0.5527395606040955,2.4491491317749023,1.0382112264633179,1.1632421016693115,1.7411555051803589,1.5587345361709595,0.3225859999656677,1.8001530170440674,5.406531810760498,3.935326337814331,2.9101297855377197,1.7160049676895142,1.2862533330917358,1.743183970451355,0.8352224230766296,3.0490927696228027,0.9605360627174377,3.0349926948547363,3.165343761444092,6.158000469207764,1.0951735973358154,2.1958906650543213,10.808195114135742,0.6933566331863403,1.8129603862762451,1.8292301893234253,0.8605749011039734,4.783390045166016,3.7902679443359375,3.259059429168701,7.6465067863464355
