Date,MAT_AAL,CST_ABF,FIN_ALW,MAT_ANTO,FIN_AV,HC_AZN,IND_BA,IND_BAB,CST_BATS,RE_BLND,IND_BNZL,TEL_BT-A,TECH_CCC,UTL_CNA,IND_CPG,IND_DCC,IND_DPLM,FIN_FCIT,CD_GAW,HC_GSK,IND_HLMA,FIN_HSX,IND_HWDN,FIN_ICG,FIN_III,IND_IMI,CD_INF,CD_JD,CD_KGF,RE_LAND,FIN_LGEN,FIN_LLOY,CST_MKS,UTL_NG,CD_NXT,FIN_PRU,IND_PSN,CD_PSON,CD_REL,IND_RKT,IND_RTO,CST_SBRY,FIN_SDR,TECH_SGE,RE_SGRO,IND_SMIN,FIN_SMT,IND_SPX,UTL_SSE,FIN_STAN,FIN_STJ,UTL_SVT,CST_TSCO,CD_ULVR,UTL_UU,TEL_VOD,IND_WEIR,CD_WTB
2021-08-10,3280.337646484375,2069.86572265625,1014.8500366210938,1535.24462890625,395.89764404296875,8139.92578125,570.2607421875,307.422607421875,2638.1123046875,516.3709106445312,2595.8515625,176.2933349609375,2786.35400390625,49.23154067993164,13.678411483764648,6160.619140625,2977.7265625,219.7982635498047,11628.2197265625,1453.3443603515625,2898.830810546875,939.0586547851562,936.689453125,2177.029296875,1320.1007080078125,1756.4952392578125,531.48681640625,187.88502502441406,360.7704162597656,710.440673828125,276.208251953125,46.52901077270508,141.00546264648438,949.2721557617188,7930.1904296875,1406.7186279296875,2906.491455078125,797.5843505859375,2130.821533203125,5867.06591796875,554.0751342773438,293.0766296386719,633.3743286132812,714.4612426757812,1242.781494140625,1442.2076416015625,1369.6888427734375,15111.134765625,1610.2652587890625,460.4138488769531,1630.3631591796875,2807.1767578125,234.0435333251953,4384.2255859375,1064.65283203125,118.86724853515625,1677.5391845703125,3193.582763671875
2021-08-11,3358.1259765625,2081.84765625,1016.84765625,1552.7188720703125,399.6305847167969,8170.89208984375,577.6511840820312,307.422607421875,2665.509765625,527.3405151367188,2632.80712890625,176.39308166503906,2768.377685546875,49.76090621948242,13.678411483764648,6210.52685546875,2993.7138671875,221.79649353027344,11648.1826171875,1472.8431396484375,2933.8173828125,954.636474609375,941.6824951171875,2213.9453125,1335.0791015625,1771.4825439453125,542.0765380859375,194.4823760986328,366.35760498046875,719.6128540039062,278.5988464355469,46.3743896484375,141.60525512695312,945.5808715820312,8069.94677734375,1443.54638671875,2906.491455078125,798.3834228515625,2157.793701171875,5882.6552734375,557.4719848632812,301.6524963378906,634.9005737304688,716.6591186523438,1242.781494140625,1443.206298828125,1356.6917724609375,15750.5458984375,1622.2413330078125,465.6049499511719,1643.8414306640625,2822.1455078125,238.43496704101562,4415.716796875,1074.6307373046875,119.5648422241211,1681.0361328125,3168.617431640625
2021-08-12,3326.814453125,2072.86083984375,1014.8500366210938,1527.2562255859375,413.48211669921875,8290.416015625,578.2503051757812,306.5228271484375,2661.0263671875,524.9472045898438,2655.778564453125,177.93907165527344,2770.375244140625,49.800865173339844,13.564424514770508,6158.623046875,3033.68359375,221.54669189453125,11718.0517578125,1481.4869384765625,2925.820068359375,955.7183227539062,945.4771728515625,2192.9931640625,1328.5885009765625,1781.553466796875,546.4722900390625,193.6826934814453,366.1580505371094,718.8153686523438,271.57708740234375,46.44422149658203,146.25379943847656,948.2745361328125,8031.109375,1451.7843017578125,2890.538330078125,791.2550659179688,2166.784423828125,5845.2392578125,561.46826171875,302.7494812011719,635.0701904296875,715.4603271484375,1232.87255859375,1475.666015625,1351.193115234375,15655.6337890625,1593.7984619140625,460.74298095703125,1638.3502197265625,2841.106201171875,240.73049926757812,4408.77734375,1073.13427734375,120.18268585205078,1687.5306396484375,3127.673828125
2021-08-13,3316.0517578125,2071.862548828125,1018.845458984375,1541.23583984375,418.6887512207031,8417.2841796875,579.4487915039062,326.11798095703125,2675.970703125,530.9305419921875,2654.7802734375,177.58998107910156,2778.36474609375,49.87078094482422,13.65561294555664,6114.703125,3013.698974609375,222.0462188720703,11678.1279296875,1499.3770751953125,2958.806884765625,948.7276000976562,946.875244140625,2206.9609375,1334.579833984375,1786.5494384765625,551.4674682617188,195.2820587158203,368.7520751953125,729.5825805664062,272.9718017578125,46.1199836730957,146.9535675048828,953.2627563476562,8095.0068359375,1471.6513671875,2896.5205078125,783.4642333984375,2168.782470703125,5851.4765625,559.270263671875,301.4530944824219,635.91796875,721.2543334960938,1259.825927734375,1469.6737060546875,1349.693603515625,15765.5322265625,1621.7421875,464.13739013671875,1642.843017578125,2864.05859375,242.47706604003906,4439.73583984375,1085.1077880859375,119.88371276855469,1692.0264892578125,3115.68994140625
2021-08-16,3251.96142578125,2052.890869140625,1014.8500366210938,1526.2578125,413.0892333984375,8468.23046875,579.2490234375,333.8159484863281,2669.992919921875,530.53173828125,2637.80078125,175.49542236328125,2766.380615234375,50.46007537841797,13.578102111816406,6052.81787109375,3027.688232421875,219.7982635498047,11588.2939453125,1506.814453125,2945.81201171875,943.7344360351562,950.669921875,2162.063232421875,1319.1021728515625,1770.5621337890625,546.07275390625,190.0441436767578,363.7635498046875,728.3861694335938,269.3853454589844,45.52141571044922,147.0535430908203,954.659423828125,7911.30078125,1414.9564208984375,2892.5322265625,777.0719604492188,2162.788330078125,5821.3349609375,559.8697509765625,297.6637878417969,631.0001831054688,716.8587646484375,1263.3199462890625,1458.68701171875,1320.2000732421875,15650.6376953125,1617.2513427734375,455.45166015625,1635.35498046875,2881.023193359375,241.62876892089844,4408.77734375,1079.120849609375,119.08648681640625,1641.5704345703125,3095.71826171875
2021-08-17,3237.283935546875,2020.9395751953125,1018.845458984375,1510.7803955078125,410.8298645019531,8576.119140625,577.6511840820312,340.1144104003906,2692.40869140625,519.761474609375,2648.78759765625,173.70005798339844,2758.390869140625,50.360191345214844,13.55074405670166,6084.7578125,3037.680419921875,221.2969512939453,11548.3681640625,1524.102294921875,2975.7998046875,944.7329711914062,951.0694580078125,2190.998046875,1328.5885009765625,1778.5556640625,541.677001953125,191.60353088378906,352.2899169921875,717.618896484375,266.9942932128906,44.88294219970703,145.95387268066406,960.4459228515625,7889.3369140625,1426.101806640625,2859.628173828125,761.0909423828125,2170.78076171875,5880.5771484375,574.05615234375,294.9712829589844,629.1348876953125,723.8515625,1269.808837890625,1441.208740234375,1350.693359375,15705.5888671875,1617.750244140625,451.3583679199219,1624.373046875,2908.96533203125,244.77264404296875,4444.53955078125,1086.10546875,119.98336791992188,1621.5880126953125,3019.8232421875
2021-08-18,3165.855712890625,2018.942626953125,1016.84765625,1468.3426513671875,413.8751220703125,8722.9677734375,574.4553833007812,343.0136413574219,2685.933837890625,521.3569946289062,2655.778564453125,172.80239868164062,2792.34619140625,50.34021759033203,13.68297004699707,6076.7734375,3049.67138671875,222.0462188720703,11648.1826171875,1533.5496826171875,2976.7998046875,937.1431274414062,955.0639038085938,2188.0048828125,1325.093505859375,1788.5477294921875,552.466552734375,194.2025146484375,359.0743713378906,716.8214111328125,267.0939636230469,44.55870819091797,144.9042205810547,966.5316772460938,7875.359375,1434.823974609375,2901.505859375,761.6902465820312,2167.78369140625,5872.26220703125,572.0581665039062,289.8856201171875,629.9827880859375,724.6508178710938,1272.8037109375,1449.6983642578125,1349.693603515625,15725.568359375,1636.2132568359375,453.85430908203125,1618.382568359375,2860.06640625,244.822509765625,4378.3544921875,1071.1383056640625,121.25894165039062,1633.0780029296875,3034.802001953125
2021-08-19,2851.17529296875,1991.9833984375,1004.8612670898438,1402.9388427734375,407.0967102050781,8726.9619140625,569.2620849609375,345.2131042480469,2660.03076171875,513.1796264648438,2682.746337890625,170.657958984375,2848.273193359375,49.67101287841797,13.37292766571045,5998.9169921875,3029.68701171875,220.29782104492188,11668.1435546875,1521.52294921875,2973.80078125,928.7544555664062,939.4855346679688,2130.136474609375,1308.117919921875,1767.5645751953125,530.4877319335938,193.72267150878906,353.88629150390625,707.8486328125,261.0168151855469,43.72570037841797,142.65492248535156,976.0093994140625,7805.4716796875,1402.3955078125,2836.695068359375,755.4976806640625,2169.78125,5864.9873046875,577.2532958984375,288.38983154296875,613.7644653320312,728.4468383789062,1274.800537109375,1415.740478515625,1342.195068359375,15650.6376953125,1643.1990966796875,444.1701965332031,1588.430908203125,2845.097412109375,243.5250701904297,4385.29345703125,1073.13427734375,120.800537109375,1633.0780029296875,2990.86279296875
2021-08-20,2808.583740234375,2011.953125,1012.8522338867188,1396.94775390625,406.8020935058594,8721.96875,573.05712890625,355.5105285644531,2701.37548828125,520.1603393554688,2687.740234375,172.95201110839844,2896.21044921875,50.719764709472656,13.450437545776367,5992.9287109375,3061.661865234375,222.29600524902344,11678.1279296875,1523.3323974609375,3011.785400390625,930.3522338867188,946.2760620117188,2173.038818359375,1316.1063232421875,1765.56640625,530.4877319335938,199.2804718017578,359.1741027832031,709.044921875,261.514892578125,43.88033676147461,162.74859619140625,976.7078247070312,7913.29833984375,1409.664306640625,2837.69287109375,757.095703125,2172.7783203125,5848.357421875,583.647216796875,293.8744201660156,620.0394287109375,734.4406127929688,1285.78125,1419.236083984375,1353.6923828125,15945.3681640625,1663.1591796875,446.965576171875,1593.9219970703125,2851.08544921875,246.02020263671875,4414.64892578125,1081.116455078125,122.25547790527344,1621.5880126953125,3029.808837890625
2021-08-23,2850.1962890625,1990.4857177734375,1018.845458984375,1425.9052734375,411.1244812011719,8615.080078125,571.2594604492188,359.909423828125,2695.896728515625,518.5647583007812,2696.7294921875,167.71551513671875,2918.181640625,50.75971984863281,13.436758041381836,6070.78369140625,3069.65625,223.04531860351562,11867.7705078125,1510.2642822265625,2999.790283203125,925.1593017578125,942.2816162109375,2153.08447265625,1315.10791015625,1758.5721435546875,525.2927856445312,199.0005645751953,360.1718444824219,710.241455078125,264.60333251953125,43.850406646728516,163.8482208251953,965.7334594726562,7927.27685546875,1448.9158935546875,2803.791748046875,772.077880859375,2177.7734375,5799.5087890625,578.4520263671875,339.0475158691406,621.0569458007812,732.8423461914062,1287.7777099609375,1422.232421875,1352.192626953125,16030.2890625,1631.7220458984375,449.2618103027344,1589.429443359375,2834.120361328125,251.01046752929688,4393.2998046875,1070.6397705078125,121.89673614501953,1649.56396484375,3040.7939453125
