Date,XLF,XLE,XLB,XLI,XLK,XLP,XLU,XLV,XLY
2000-01-03,11.14791488647461,6.699404716491699,7.2603983879089355,18.125661849975586,20.65203094482422,12.207147598266602,5.551600456237793,20.52477264404297,11.173433303833008
2000-01-04,10.66057300567627,6.573296070098877,7.190507888793945,17.624897003173828,19.604293823242188,11.8634033203125,5.384134769439697,20.05902671813965,10.837303161621094
2000-01-05,10.576813697814941,6.746695518493652,7.48756217956543,17.54635238647461,19.313264846801758,12.073001861572266,5.520002841949463,19.879079818725586,10.704010009765625
2000-01-06,11.041308403015137,7.0067877769470215,7.679773807525635,17.78200340270996,18.672971725463867,12.2993745803833,5.51052188873291,19.94257926940918,10.825708389282227
2000-01-07,11.2240629196167,7.081665992736816,7.675409317016602,18.459503173828125,18.998937606811523,13.079090118408203,5.557919502258301,20.186052322387695,11.335701942443848
2000-01-10,11.026078224182129,7.022552013397217,7.649196624755859,18.459503173828125,19.720714569091797,12.785643577575684,5.576879024505615,22.250179290771484,11.277749061584473
2000-01-11,10.843324661254883,7.030435085296631,7.5574564933776855,18.223848342895508,19.161922454833984,12.785643577575684,5.516839981079102,21.657392501831055,11.214001655578613
2000-01-12,11.056541442871094,6.998908042907715,7.448248386383057,18.007837295532227,19.08043670654297,12.852721214294434,5.459967136383057,21.297496795654297,11.150252342224121
2000-01-13,11.391585350036621,7.121071815490723,7.478822231292725,18.35150909423828,19.255048751831055,12.91978931427002,5.4094109535217285,21.9326171875,11.20820426940918
2000-01-14,11.658102035522461,7.077724456787109,7.426403999328613,18.223848342895508,19.697433471679688,12.96170425415039,5.453648567199707,21.742080688476562,11.17922592163086
2000-01-18,11.269750595092773,7.164419174194336,7.247297763824463,18.204212188720703,19.802207946777344,12.743725776672363,5.431530952453613,21.339839935302734,11.115478515625
2000-01-19,11.231677055358887,7.140776634216309,7.1075053215026855,18.145305633544922,19.837125778198242,12.835957527160645,5.434693813323975,21.847936630249023,11.092297554016113
2000-01-20,11.026078224182129,7.140776634216309,6.9196624755859375,18.02747344970703,19.953540802001953,12.659883499145508,5.459967136383057,21.67856216430664,10.941621780395508
2000-01-21,10.889018058776855,7.337815284729004,6.9502410888671875,17.8016414642334,19.976823806762695,12.517361640930176,5.636912822723389,21.636228561401367,10.715604782104492
2000-01-24,10.691032409667969,7.077724456787109,6.766767501831055,17.291065216064453,19.324901580810547,12.156854629516602,5.561079978942871,20.990528106689453,10.31572437286377
2000-01-25,10.805252075195312,7.061962604522705,6.64008092880249,17.192873001098633,19.73816680908203,12.00593090057373,5.431530952453613,21.13871955871582,10.379467964172363
2000-01-26,11.208831787109375,6.951618671417236,6.64008092880249,17.330339431762695,19.09207534790039,12.114917755126953,5.406250953674316,21.043447494506836,10.454811096191406
